pathway_id,pathway_name,source,n_genes,mean_AD,mean_Control,diff,p_value,effect_size,abs_effect,direction,q_value,significant_fdr,significant,neg_log10_p
GO:0021537,telencephalon development,GO:BP,3,-0.1164,-0.1929,0.0765,0.0006507124051402688,-0.78,0.78,↑ in AD,0.20885445626541532,False,True,3.186610913824601
GO:0001867,"complement activation, lectin pathway",GO:BP,8,0.2619,0.3138,-0.0519,0.0014248228463931592,0.73,0.73,↓ in AD,0.20885445626541532,False,True,2.8462391297724015
GO:0045824,negative regulation of innate immune response,GO:BP,5,0.3744,0.4256,-0.0512,0.0016575750497255183,0.72,0.72,↓ in AD,0.20885445626541532,False,True,2.780526799005373
REAC:R-HSA-9657689,Defective SERPING1 causes hereditary angioedema,REAC,3,0.1349,0.1983,-0.0634,0.0029818378302928876,0.68,0.68,↓ in AD,0.2165824554524182,False,True,2.5255159797039757
GO:0004497,monooxygenase activity,GO:MF,3,0.0,-0.0656,0.0656,0.003277853381266256,-0.4,0.4,↑ in AD,0.2165824554524182,False,True,2.4844104763698818
WP:WP5089,Kinin Kallikrein pathway,WP,5,0.2434,0.2757,-0.0323,0.003437816753212987,0.67,0.67,↓ in AD,0.2165824554524182,False,True,2.4637172763369843
GO:0019731,antibacterial humoral response,GO:BP,3,-0.0494,0.0689,-0.1182,0.005212047135633487,0.64,0.64,↓ in AD,0.2814505453242083,False,True,2.2829916653591154
GO:0009152,purine ribonucleotide biosynthetic process,GO:BP,7,0.1551,0.3424,-0.1873,0.006811129279982587,0.62,0.62,↓ in AD,0.3218258584791773,False,True,2.166780876427094
GO:0002920,regulation of humoral immune response,GO:BP,8,0.3791,0.4002,-0.0211,0.011417221487911742,0.58,0.58,↓ in AD,0.36840692906630323,False,True,1.9424395737860696
GO:0042446,hormone biosynthetic process,GO:BP,3,0.0,-0.0662,0.0662,0.012696089153847243,-0.3,0.3,↑ in AD,0.36840692906630323,False,True,1.8963300365613405
GO:0003724,RNA helicase activity,GO:MF,3,0.0,-0.0939,0.0939,0.012696089153847243,-0.3,0.3,↑ in AD,0.36840692906630323,False,True,1.8963300365613405
GO:0051216,cartilage development,GO:BP,5,-0.3272,-0.2246,-0.1025,0.014619322581996158,0.56,0.56,↓ in AD,0.36840692906630323,False,True,1.8350727508882183
GO:1903829,positive regulation of protein localization,GO:BP,13,-0.3524,-0.3105,-0.0419,0.014619322581996158,0.56,0.56,↓ in AD,0.36840692906630323,False,True,1.8350727508882183
GO:0030879,mammary gland development,GO:BP,4,-0.4276,-0.3873,-0.0403,0.014619322581996158,0.56,0.56,↓ in AD,0.36840692906630323,False,True,1.8350727508882183
GO:1900076,regulation of cellular response to insulin stimulus,GO:BP,4,0.1556,0.1922,-0.0366,0.014619322581996158,0.56,0.56,↓ in AD,0.36840692906630323,False,True,1.8350727508882183
GO:0048598,embryonic morphogenesis,GO:BP,6,0.1742,0.267,-0.0928,0.01649925731113348,0.55,0.55,↓ in AD,0.3897949539755285,False,True,1.782535604448872
GO:0005765,lysosomal membrane,GO:CC,10,-0.1578,-0.1297,-0.028,0.018588295825989816,0.54,0.54,↓ in AD,0.41331622483671476,False,True,1.7307604244989228
GO:0009790,embryo development,GO:BP,10,0.3112,0.363,-0.0518,0.020905208624420413,0.53,0.53,↓ in AD,0.43900938111282867,False,True,1.6797454940316492
GO:2001252,positive regulation of chromosome organization,GO:BP,4,-0.2,-0.15,-0.05,0.023469884553281025,0.52,0.52,↓ in AD,0.45993503832340676,False,True,1.6294890466603047
GO:0097722,sperm motility,GO:BP,6,0.0168,-0.094,0.1109,0.024335187212878664,-0.42,0.42,↑ in AD,0.45993503832340676,False,True,1.6137653083394228
GO:0019866,organelle inner membrane,GO:CC,5,-0.0043,0.0498,-0.0542,0.027810339802225355,0.505,0.505,↓ in AD,0.4969350473108931,False,True,1.5557937046514883
GO:0001818,negative regulation of cytokine production,GO:BP,7,0.0951,0.0646,0.0305,0.03286607455759875,-0.49,0.49,↑ in AD,0.4969350473108931,False,True,1.4832521638763392
KEGG:05417,Lipid and atherosclerosis,KEGG,7,0.245,0.2878,-0.0428,0.03286607455759875,0.49,0.49,↓ in AD,0.4969350473108931,False,True,1.4832521638763392
GO:0030141,secretory granule,GO:CC,43,0.2935,0.306,-0.0125,0.03286607455759875,0.49,0.49,↓ in AD,0.4969350473108931,False,True,1.4832521638763392
GO:0009749,response to glucose,GO:BP,4,-0.3436,-0.4142,0.0706,0.03286607455759875,-0.49,0.49,↑ in AD,0.4969350473108931,False,True,1.4832521638763392
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",GO:MF,9,-0.4117,-0.3686,-0.043,0.03664283448551583,0.48,0.48,↓ in AD,0.5129996827972216,False,True,1.4360109391033786
GO:0005739,mitochondrion,GO:CC,21,0.0559,0.1192,-0.0634,0.03664283448551583,0.48,0.48,↓ in AD,0.5129996827972216,False,True,1.4360109391033786
GO:0030500,regulation of bone mineralization,GO:BP,4,0.4066,0.3827,0.024,0.0386443147211139,-0.475,0.475,↑ in AD,0.5138684799638337,False,True,1.4129143896334442
GO:0004714,transmembrane receptor protein tyrosine kinase activity,GO:MF,3,-0.4214,-0.3883,-0.0332,0.04078321269554235,0.47,0.47,↓ in AD,0.5138684799638337,False,True,1.38951856568419
GO:0048771,tissue remodeling,GO:BP,4,0.2584,0.2223,0.0361,0.04078321269554235,-0.47,0.47,↑ in AD,0.5138684799638337,False,True,1.38951856568419
REAC:R-HSA-15869,Metabolism of nucleotides,REAC,5,-0.0617,0.0134,-0.0751,0.04394486878396253,0.325,0.325,↓ in AD,0.5358438838818658,False,True,1.3570918279601363
GO:0019838,growth factor binding,GO:MF,5,0.2582,0.293,-0.0348,0.05026064814901438,0.45,0.45,↓ in AD,0.5695131185187841,False,False,1.2987719151520105
GO:0022612,gland morphogenesis,GO:BP,4,-0.2792,-0.3787,0.0995,0.05026064814901438,-0.45,0.45,↑ in AD,0.5695131185187841,False,False,1.2987719151520105
GO:0004867,serine-type endopeptidase inhibitor activity,GO:MF,16,0.152,0.1752,-0.0232,0.05565276521016723,0.44,0.44,↓ in AD,0.5695131185187841,False,False,1.2545132520717421
REAC:R-HSA-216083,Integrin cell surface interactions,REAC,4,-0.2746,-0.334,0.0594,0.05565276521016723,-0.44,0.44,↑ in AD,0.5695131185187841,False,False,1.2545132520717421
GO:0002697,regulation of immune effector process,GO:BP,17,0.2433,0.2642,-0.0209,0.05565276521016723,0.44,0.44,↓ in AD,0.5695131185187841,False,False,1.2545132520717421
GO:0031410,cytoplasmic vesicle,GO:CC,66,0.2797,0.2958,-0.016,0.06151844308314133,0.43,0.43,↓ in AD,0.5695131185187841,False,False,1.210994664249483
GO:0002262,myeloid cell homeostasis,GO:BP,3,0.0193,0.0696,-0.0502,0.06151844308314133,0.43,0.43,↓ in AD,0.5695131185187841,False,False,1.210994664249483
GO:0050830,defense response to Gram-positive bacterium,GO:BP,7,-0.0175,-0.0512,0.0338,0.06151844308314133,-0.43,0.43,↑ in AD,0.5695131185187841,False,False,1.210994664249483
GO:0001959,regulation of cytokine-mediated signaling pathway,GO:BP,3,0.3704,0.4041,-0.0336,0.06151844308314133,0.43,0.43,↓ in AD,0.5695131185187841,False,False,1.210994664249483
KEGG:04141,Protein processing in endoplasmic reticulum,KEGG,4,-0.0337,0.0051,-0.0388,0.062417096555861314,0.28,0.28,↓ in AD,0.5695131185187841,False,False,1.2046964371941589
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,GO:BP,4,-0.0635,0.0,-0.0635,0.063279235390976,0.3,0.3,↓ in AD,0.5695131185187841,False,False,1.1987387771002362
GO:0005796,Golgi lumen,GO:CC,3,-0.2079,-0.2593,0.0514,0.06788693602163734,-0.42,0.42,↑ in AD,0.583210495822248,False,False,1.168213792134624
GO:0045730,respiratory burst,GO:BP,3,-0.1798,-0.1298,-0.05,0.06788693602163734,0.42,0.42,↓ in AD,0.583210495822248,False,False,1.168213792134624
GO:0051781,positive regulation of cell division,GO:BP,3,-0.0498,-0.0028,-0.0469,0.07053678530245018,0.325,0.325,↓ in AD,0.5889553305699247,False,False,1.151584337087305
GO:2001234,negative regulation of apoptotic signaling pathway,GO:BP,8,-0.1056,-0.0613,-0.0442,0.0747879784850698,0.41,0.41,↓ in AD,0.5889553305699247,False,False,1.1261682055737885
GO:0019433,triglyceride catabolic process,GO:BP,5,0.2663,0.2913,-0.025,0.0747879784850698,0.41,0.41,↓ in AD,0.5889553305699247,False,False,1.1261682055737885
REAC:R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,REAC,3,-0.1729,-0.2388,0.0659,0.0747879784850698,-0.41,0.41,↑ in AD,0.5889553305699247,False,False,1.1261682055737885
GO:0046330,positive regulation of JNK cascade,GO:BP,3,-0.1486,-0.081,-0.0676,0.08221757222997811,0.4,0.4,↓ in AD,0.6044784449222023,False,False,1.0850353514755264
GO:0007159,leukocyte cell-cell adhesion,GO:BP,8,0.0271,0.0637,-0.0366,0.08225164615120803,0.4,0.4,↓ in AD,0.6044784449222023,False,False,1.0848554014967482
GO:0072676,lymphocyte migration,GO:BP,4,0.1257,0.0746,0.051,0.08225164615120803,-0.4,0.4,↑ in AD,0.6044784449222023,False,False,1.0848554014967482
GO:0004386,helicase activity,GO:MF,5,-0.0194,-0.0952,0.0758,0.08687206083451919,-0.235,0.235,↑ in AD,0.6044784449222023,False,False,1.0611198757536908
GO:0006775,fat-soluble vitamin metabolic process,GO:BP,3,-0.0202,-0.0438,0.0237,0.08687206083451919,-0.235,0.235,↑ in AD,0.6044784449222023,False,False,1.0611198757536908
WP:WP5055,Burn wound healing,WP,4,-0.4233,-0.382,-0.0413,0.09030820256797847,0.39,0.39,↓ in AD,0.6044784449222023,False,False,1.044272801533395
GO:0031089,platelet dense granule lumen,GO:CC,7,0.3248,0.3107,0.0141,0.09030820256797847,-0.39,0.39,↑ in AD,0.6044784449222023,False,False,1.044272801533395
GO:0042098,T cell proliferation,GO:BP,3,-0.3701,-0.4485,0.0784,0.09891283454337177,-0.38,0.38,↑ in AD,0.6044784449222023,False,False,1.004747352389473
WP:WP5353,Macrophage stimulating protein MSP signaling,WP,3,-0.3313,-0.3976,0.0663,0.09895038375209744,-0.38,0.38,↑ in AD,0.6044784449222023,False,False,1.0045825171615246
GO:0051087,protein-folding chaperone binding,GO:MF,5,0.4911,0.4941,-0.0029,0.09898793180102639,0.38,0.38,↓ in AD,0.6044784449222023,False,False,1.0044177495610114
GO:0001817,regulation of cytokine production,GO:BP,20,0.0015,-0.0152,0.0167,0.09898793180102639,-0.38,0.38,↑ in AD,0.6044784449222023,False,False,1.0044177495610114
GO:0015267,channel activity,GO:MF,6,-0.2285,-0.1307,-0.0978,0.09898793180102639,0.38,0.38,↓ in AD,0.6044784449222023,False,False,1.0044177495610114
GO:0007005,mitochondrion organization,GO:BP,7,0.2781,0.3298,-0.0517,0.10349409503030414,0.375,0.375,↓ in AD,0.6044784449222023,False,False,0.9850844286506711
GO:0032103,positive regulation of response to external stimulus,GO:BP,20,0.1382,0.1547,-0.0165,0.10832095763145862,0.37,0.37,↓ in AD,0.6044784449222023,False,False,0.9652875091812742
KEGG:05144,Malaria,KEGG,3,-0.1921,-0.1274,-0.0647,0.10832095763145862,0.37,0.37,↓ in AD,0.6044784449222023,False,False,0.9652875091812742
WP:WP4657,22q11 2 copy number variation syndrome,WP,5,-0.1545,-0.1181,-0.0364,0.10832095763145862,0.37,0.37,↓ in AD,0.6044784449222023,False,False,0.9652875091812742
GO:0009986,cell surface,GO:CC,24,0.0437,0.0669,-0.0231,0.10832095763145862,0.37,0.37,↓ in AD,0.6044784449222023,False,False,0.9652875091812742
REAC:R-HSA-166662,Lectin pathway of complement activation,REAC,4,-0.2076,-0.1642,-0.0434,0.10832095763145862,0.37,0.37,↓ in AD,0.6044784449222023,False,False,0.9652875091812742
GO:0032561,guanyl ribonucleotide binding,GO:MF,7,-0.3678,-0.348,-0.0198,0.10832095763145862,0.37,0.37,↓ in AD,0.6044784449222023,False,False,0.9652875091812742
GO:0046620,regulation of organ growth,GO:BP,4,-0.0521,0.0098,-0.0618,0.11585270195902941,0.27,0.27,↓ in AD,0.6044784449222023,False,False,0.9360938329813606
GO:0048639,positive regulation of developmental growth,GO:BP,4,-0.055,0.0098,-0.0647,0.11585270195902941,0.27,0.27,↓ in AD,0.6044784449222023,False,False,0.9360938329813606
GO:0009123,nucleoside monophosphate metabolic process,GO:BP,4,-0.0248,0.0134,-0.0382,0.11807754779407674,0.19,0.19,↓ in AD,0.6044784449222023,False,False,0.9278326747500267
REAC:R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,REAC,10,0.2017,0.217,-0.0153,0.11833705006413482,0.36,0.36,↓ in AD,0.6044784449222023,False,False,0.9268792611265781
GO:0005819,spindle,GO:CC,6,0.0794,0.1141,-0.0347,0.11833705006413482,0.36,0.36,↓ in AD,0.6044784449222023,False,False,0.9268792611265781
REAC:R-HSA-9748784,Drug ADME,REAC,3,0.4876,0.494,-0.0065,0.11833705006413482,0.36,0.36,↓ in AD,0.6044784449222023,False,False,0.9268792611265781
GO:0071495,cellular response to endogenous stimulus,GO:BP,20,0.092,0.1056,-0.0137,0.11833705006413482,0.36,0.36,↓ in AD,0.6044784449222023,False,False,0.9268792611265781
GO:1902041,regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:BP,5,-0.3633,-0.4509,0.0875,0.12667611802491435,-0.35,0.35,↑ in AD,0.633593880580575,False,False,0.8973052540007156
REAC:R-HSA-140875,Common Pathway of Fibrin Clot Formation,REAC,7,-0.0376,-0.0748,0.0372,0.12906542011826527,-0.35,0.35,↑ in AD,0.633593880580575,False,False,0.8891901005954951
GO:0033194,response to hydroperoxide,GO:BP,4,0.2516,0.2924,-0.0408,0.12906542011826527,0.35,0.35,↓ in AD,0.633593880580575,False,False,0.8891901005954951
GO:0042579,microbody,GO:CC,3,0.2705,0.1981,0.0724,0.14049034956995374,-0.34,0.34,↑ in AD,0.6470330272170163,False,False,0.8523535068796152
GO:0003823,antigen binding,GO:MF,7,-0.0967,-0.0768,-0.0199,0.14053450408595752,0.34,0.34,↓ in AD,0.6470330272170163,False,False,0.8522170345174033
GO:1903522,regulation of blood circulation,GO:BP,5,0.2489,0.191,0.0579,0.14053450408595752,-0.34,0.34,↑ in AD,0.6470330272170163,False,False,0.8522170345174033
GO:0006412,translation,GO:BP,8,-0.0524,-0.0134,-0.039,0.14053450408595752,0.34,0.34,↓ in AD,0.6470330272170163,False,False,0.8522170345174033
GO:0005814,centriole,GO:CC,4,-0.0143,0.0,-0.0143,0.14661522824706158,0.2,0.2,↓ in AD,0.6470330272170163,False,False,0.833820919188773
GO:0016197,endosomal transport,GO:BP,4,-0.0432,0.0,-0.0432,0.14661522824706158,0.2,0.2,↓ in AD,0.6470330272170163,False,False,0.833820919188773
GO:0043123,positive regulation of canonical NF-kappaB signal transduction,GO:BP,4,-0.0476,0.0,-0.0476,0.14661522824706158,0.2,0.2,↓ in AD,0.6470330272170163,False,False,0.833820919188773
GO:0140640,"catalytic activity, acting on a nucleic acid",GO:MF,8,-0.0286,-0.0747,0.0461,0.15272607658937423,-0.33,0.33,↑ in AD,0.6470330272170163,False,False,0.8160868047772162
GO:0043168,anion binding,GO:MF,42,0.125,0.1421,-0.0171,0.15277173865747862,0.33,0.33,↓ in AD,0.6470330272170163,False,False,0.8159569787466
REAC:R-HSA-2980736,Peptide hormone metabolism,REAC,4,0.1691,0.1366,0.0324,0.15277173865747862,-0.33,0.33,↑ in AD,0.6470330272170163,False,False,0.8159569787466
GO:0010883,regulation of lipid storage,GO:BP,4,-0.06,-0.1159,0.0559,0.15277173865747862,-0.33,0.33,↑ in AD,0.6470330272170163,False,False,0.8159569787466
GO:0071333,cellular response to glucose stimulus,GO:BP,3,-0.3032,-0.3736,0.0704,0.15277173865747862,-0.33,0.33,↑ in AD,0.6470330272170163,False,False,0.8159569787466
GO:0006403,RNA localization,GO:BP,3,-0.0059,0.0013,-0.0072,0.15446576442708213,0.145,0.145,↓ in AD,0.6470330272170163,False,False,0.8111677619865771
GO:0000287,magnesium ion binding,GO:MF,4,-0.0472,-0.0028,-0.0444,0.1631932222718484,0.24,0.24,↓ in AD,0.6470330272170163,False,False,0.787297882292087
GO:0032642,regulation of chemokine production,GO:BP,3,0.1044,0.0796,0.0248,0.16580332852091684,-0.32,0.32,↑ in AD,0.6470330272170163,False,False,0.7804067551864864
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,GO:BP,3,-0.4366,-0.4574,0.0208,0.16580332852091684,-0.32,0.32,↑ in AD,0.6470330272170163,False,False,0.7804067551864864
GO:0016485,protein processing,GO:BP,20,0.1235,0.1442,-0.0208,0.16580332852091684,0.32,0.32,↓ in AD,0.6470330272170163,False,False,0.7804067551864864
GO:0061337,cardiac conduction,GO:BP,3,0.2641,0.2208,0.0433,0.16580332852091684,-0.32,0.32,↑ in AD,0.6470330272170163,False,False,0.7804067551864864
GO:0042692,muscle cell differentiation,GO:BP,13,-0.1798,-0.152,-0.0278,0.16580332852091684,0.32,0.32,↓ in AD,0.6470330272170163,False,False,0.7804067551864864
GO:0046622,positive regulation of organ growth,GO:BP,3,-0.0343,0.0098,-0.0441,0.16603757576732958,0.225,0.225,↓ in AD,0.6470330272170163,False,False,0.7797936161665457
GO:0005938,cell cortex,GO:CC,6,0.0965,0.1214,-0.0249,0.179654008244981,0.31,0.31,↓ in AD,0.672368466501018,False,False,0.7455630888447574
GO:0004806,triacylglycerol lipase activity,GO:MF,3,0.3247,0.3001,0.0246,0.179654008244981,-0.31,0.31,↑ in AD,0.672368466501018,False,False,0.7455630888447574
GO:0030175,filopodium,GO:CC,5,-0.3546,-0.3984,0.0438,0.179654008244981,-0.31,0.31,↑ in AD,0.672368466501018,False,False,0.7455630888447574
GO:0120254,olefinic compound metabolic process,GO:BP,6,-0.0435,-0.1107,0.0673,0.179654008244981,-0.31,0.31,↑ in AD,0.672368466501018,False,False,0.7455630888447574
REAC:R-HSA-5619115,Disorders of transmembrane transporters,REAC,3,0.3276,0.3628,-0.0352,0.19434680044312913,0.3,0.3,↓ in AD,0.6899743541539085,False,False,0.711422604820889
GO:0001503,ossification,GO:BP,9,0.3429,0.3437,-0.0007,0.19434680044312913,-0.3,0.3,↓ in AD,0.6899743541539085,False,False,0.711422604820889
REAC:R-HSA-449147,Signaling by Interleukins,REAC,4,-0.2131,-0.1424,-0.0707,0.19434680044312913,0.3,0.3,↓ in AD,0.6899743541539085,False,False,0.711422604820889
GO:0002707,negative regulation of lymphocyte mediated immunity,GO:BP,3,0.2324,0.2212,0.0111,0.19434680044312913,-0.3,0.3,↑ in AD,0.6899743541539085,False,False,0.711422604820889
GO:0055037,recycling endosome,GO:CC,5,-0.1064,-0.0679,-0.0385,0.2019654734290589,0.295,0.295,↓ in AD,0.6899743541539085,False,False,0.6947228680823808
WP:WP4927,COVID 19 thrombosis and anticoagulation,WP,3,-0.2026,-0.2546,0.052,0.2098520642115106,-0.29,0.29,↑ in AD,0.6899743541539085,False,False,0.6780867544903304
GO:0019730,antimicrobial humoral response,GO:BP,8,0.0862,0.1261,-0.04,0.20990277239126998,0.29,0.29,↓ in AD,0.6899743541539085,False,False,0.6779818252276102
GO:0006954,inflammatory response,GO:BP,39,0.2216,0.2096,0.012,0.20990277239126998,-0.29,0.29,↑ in AD,0.6899743541539085,False,False,0.6779818252276102
GO:0071345,cellular response to cytokine stimulus,GO:BP,16,0.2036,0.2215,-0.0179,0.20990277239126998,0.29,0.29,↓ in AD,0.6899743541539085,False,False,0.6779818252276102
GO:0005874,microtubule,GO:CC,8,-0.3537,-0.3206,-0.0331,0.21795924039300452,0.285,0.285,↓ in AD,0.6899743541539085,False,False,0.6616247143195043
GO:0030496,midbody,GO:CC,3,-0.0253,0.0,-0.0253,0.2205861807795394,0.15,0.15,↓ in AD,0.6899743541539085,False,False,0.6564216986010863
GO:0051899,membrane depolarization,GO:BP,3,0.4921,0.5,-0.0079,0.2205861807795394,0.15,0.15,↓ in AD,0.6899743541539085,False,False,0.6564216986010863
GO:0006754,ATP biosynthetic process,GO:BP,3,-0.0265,0.0,-0.0265,0.2205861807795394,0.15,0.15,↓ in AD,0.6899743541539085,False,False,0.6564216986010863
GO:0036064,ciliary basal body,GO:CC,3,-0.0194,0.0,-0.0194,0.2205861807795394,0.15,0.15,↓ in AD,0.6899743541539085,False,False,0.6564216986010863
GO:0007034,vacuolar transport,GO:BP,4,-0.0378,0.0,-0.0378,0.2205861807795394,0.15,0.15,↓ in AD,0.6899743541539085,False,False,0.6564216986010863
GO:0005496,steroid binding,GO:MF,5,0.1771,0.1532,0.0239,0.22634079342614988,-0.28,0.28,↑ in AD,0.6899743541539085,False,False,0.6452371660485053
GO:0022857,transmembrane transporter activity,GO:MF,12,0.1358,0.1644,-0.0287,0.22634079342614988,0.28,0.28,↓ in AD,0.6899743541539085,False,False,0.6452371660485053
KEGG:05146,Amoebiasis,KEGG,6,0.075,0.0566,0.0184,0.22634079342614988,-0.28,0.28,↑ in AD,0.6899743541539085,False,False,0.6452371660485053
GO:0005622,intracellular anatomical structure,GO:CC,197,0.186,0.2017,-0.0157,0.22634079342614988,0.28,0.28,↓ in AD,0.6899743541539085,False,False,0.6452371660485053
GO:0097305,response to alcohol,GO:BP,5,0.3976,0.4144,-0.0169,0.22634079342614988,0.28,0.28,↓ in AD,0.6899743541539085,False,False,0.6452371660485053
GO:0048144,fibroblast proliferation,GO:BP,5,0.1393,0.1123,0.027,0.22634079342614988,-0.28,0.28,↑ in AD,0.6899743541539085,False,False,0.6452371660485053
GO:0001848,complement binding,GO:MF,11,0.3177,0.3105,0.0071,0.22634079342614988,-0.28,0.28,↑ in AD,0.6899743541539085,False,False,0.6452371660485053
